Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2023-01-03,123.33064270019531,129.07955877586164,122.44315755676651,128.46818597294893,112117500
2023-01-04,124.60272979736328,126.87074702913759,123.340531781636,125.12535795794157,89113600
2023-01-05,123.2813491821289,125.99310505602139,123.02497040718632,125.36200610905166,80962700
2023-01-06,127.81735229492188,128.47803270861587,123.15313725839339,124.25756397513359,87754700
2023-01-09,128.33998107910156,131.55465346679887,128.08360234953716,128.65553802002677,70790800
2023-01-10,128.9119110107422,129.43453900512318,126.33820813140562,128.44844617850507,63896200
2023-01-11,131.6335906982422,131.65330172929973,128.6457294148702,129.42473644612312,69458900
2023-01-12,131.5546875,132.39285762882386,129.6120828388038,132.01815247276784,71379600
2023-01-13,132.88587951660156,133.04365799858422,129.82900042275443,130.19384999657817,57809700
2023-01-17,134.04949951171875,135.38071617959397,132.26467339365607,132.95493555995287,63646600
2023-01-18,133.32965087890625,136.682361304903,133.15214630173037,134.91726132660978,69672800
2023-01-19,133.3887939453125,134.35516079708475,131.90965456039046,132.21534095915428,58280400
2023-01-20,135.95263671875,136.10055969629155,132.3534032973474,133.3986594670003,80223600
2023-01-23,139.14759826660156,141.32687064316994,135.98223278773898,136.19917447397063,81760300
2023-01-24,140.5478057861328,141.169049065949,138.34882305195495,138.35867856319985,66435100
2023-01-25,139.8871612548828,140.44922647148869,136.87957443059517,138.93064978868992,65799300
2023-01-26,141.9579620361328,142.2439224000094,139.92659771489312,141.178940100887,54105100
2023-01-27,143.90052795410156,145.18245171809102,141.09017225065355,141.16906148730033,70555800
2023-01-30,141.0113067626953,143.52584706043817,140.863398823187,142.9440557695909,64015300
2023-01-31,142.2833709716797,142.33267863745013,140.3013291990389,140.71548650765396,65874500
2023-02-01,143.4075164794922,144.571114195543,139.3546881653997,141.967828937729,77663600
2023-02-02,148.72256469726562,149.07754375931228,146.10940902226113,146.82925275349945,118339000
2023-02-03,152.35134887695312,155.1913011660709,145.77411121969988,145.97132678498124,154357300
2023-02-06,149.619873046875,150.97083056548323,148.68308779153134,150.44820252682044,69858300
2023-02-07,152.49929809570312,153.07123392254363,148.54507002072867,148.54507002072867,83322600
2023-02-08,149.8072052001953,152.43021546379302,149.06763565534052,151.7399535645781,64120100
2023-02-09,148.7718505859375,152.1837390894266,148.32811173185976,151.64138491373802,56007100
2023-02-10,149.1372528076172,149.46316214008027,147.3694580195322,147.60648709847575,57450700
2023-02-13,151.9420623779297,152.34696638235076,149.04839042017383,149.0780171748983,62199000
2023-02-14,151.3000946044922,151.8630330104811,148.98911761787627,150.23348636384839,61707600
2023-02-15,153.4036865234375,153.57157647071767,150.98407305919312,151.21121650909475,65573800
2023-02-16,151.8037872314453,154.39129073768956,151.44825113314346,151.6062554560653,68167900
2023-02-17,150.65817260742188,151.10258897284194,148.97925796607987,150.46065589718617,59144100
2023-02-21,146.63864135742188,149.4236767462983,146.56951728902385,148.33731221810694,58867200
2023-02-22,147.0633087158203,148.0904046122651,145.3350111943411,147.02379633351947,51011300
2023-02-23,147.54722595214844,148.47557105445037,145.41402441253163,148.22867140254277,48394200
2023-02-24,144.8905792236328,145.36462227322275,143.91285130614398,145.28561258669828,55469600
2023-02-27,146.0855712890625,147.32006943922315,145.6213987790375,145.8781840387877,44998500
2023-02-28,145.58187866210938,147.23116612400116,145.00906980182367,145.22634264777875,50547000
2023-03-01,143.5079345703125,145.40412186804485,143.2116520085762,145.00908849876785,55479000
2023-03-02,144.10049438476562,144.89057616376812,142.1154118429578,142.5894699520932,52238100
2023-03-03,149.15701293945312,149.236022634522,145.50290119247913,146.20408774818284,70732300
2023-03-06,151.9222869873047,154.36165661510182,151.55688034550414,151.88277460629178,87558000
2023-03-07,149.71995544433594,152.11981283549997,149.25578289163562,151.79390348554702,56182000
2023-03-08,150.97418212890625,151.56674727343432,149.9470862905562,150.91492862836495,47204800
2023-03-09,148.72247314453125,152.62348469471294,148.36693703717327,151.65564226284476,53833600
2023-03-10,146.6583709716797,149.0681136196498,145.7794089470896,148.34717096498875,68572400
2023-03-13,148.6039581298828,151.2408445051467,145.86830586973156,145.97694231528436,84457100
2023-03-14,150.69766235351562,151.49761478500946,148.23855155589501,149.4039106364519,73695900
2023-03-15,151.09271240234375,151.34948260848185,148.06077752387876,149.31503194180715,77167900
2023-03-16,153.917236328125,154.5196720318581,149.7594399024329,150.27299535550645,76161100
2023-03-17,153.07777404785156,154.7962009363973,152.36670189187112,154.14438228182223,98944600
2023-03-20,155.44801330566406,155.86281797805782,152.23831786199295,153.14692183341302,73641400
2023-03-21,157.3046875,157.4231944974596,154.59866219140062,155.36900288355957,73938300
2023-03-22,155.87266540527344,160.1292123200188,155.85290921676807,157.32443633451206,75701800
2023-03-23,156.9590301513672,159.54654859691777,155.72453196517867,156.86027933820688,67622100
2023-03-24,158.2626953125,158.35157558084836,155.89246440584685,156.88993369073094,59196500
2023-03-27,156.31710815429688,158.77623413977568,155.91218910395636,157.9565254779494,52390300
2023-03-28,155.6949005126953,156.52449472162644,154.04561279409856,156.01093927220384,45992200
2023-03-29,158.7762451171875,159.05277154396305,157.37385679009435,157.39359791374972,51305700
2023-03-30,160.34652709960938,160.45516356045198,159.27004812279844,159.5268183622626,49501700
2023-03-31,162.85499572753906,162.95376161088404,159.90208569195596,160.42551172065657,68749800
2023-04-03,164.1092529296875,164.22775993608965,162.18343872786127,162.23282167038158,56976200
2023-04-04,163.57595825195312,164.77094409936112,163.06240276891677,164.53393008377392,46278300
2023-04-05,161.72914123535156,163.00315186770885,159.79345641920935,162.69699871298138,51511700
2023-04-06,162.61798095703125,162.9142635361202,159.9909651957649,160.41562533913125,45390100
2023-04-10,160.02061462402344,160.02061462402344,158.0948001913657,159.4181788200064,47716900
2023-04-11,158.80584716796875,160.34649846878187,158.51943515436048,160.33662790848967,47644200
2023-04-12,158.11456298828125,160.0502480636464,157.79852416071756,159.22066874563276,50133100
2023-04-13,163.5068359375,163.74386504702863,159.4181779828813,159.62558033741385,68445600
2023-04-14,163.16116333007812,164.25739832506682,161.78840194622364,162.5488419808256,49386500
2023-04-17,163.18092346191406,163.3389428652635,161.99580807591275,163.04266025137323,41516200
2023-04-18,164.405517578125,165.33386254581205,163.59567960391064,164.0401109685465,49923000
2023-04-19,165.5511474609375,166.0745734796078,163.4870550672227,163.74384033117565,47720200
2023-04-20,164.58328247070312,165.78815383509277,163.50680373238094,164.03022972696172,52456400
2023-04-21,162.9735107421875,164.38576938158798,162.45008473615934,163.00313749199609,58337300
2023-04-24,163.27964782714844,163.54630361878327,161.85750369783725,162.9537385417183,41949600
2023-04-25,161.73902893066406,164.24752277490956,161.69951654722522,163.14141715156464,48714100
2023-04-26,161.72914123535156,163.23029532612622,160.78105501874768,161.0378252295865,45498800
2023-04-27,166.32147216796875,166.4696059197472,163.14140369362494,163.14140369362494,64902300
2023-04-28,167.57569885253906,167.7436038513408,165.79803368662212,166.40046934782268,55275900
2023-05-01,167.48684692382812,168.33618234272492,166.54863124552048,167.180693761707,52472900
2023-05-02,166.44985961914062,168.2374257243008,165.46226102978648,167.98064044655123,48425700
2023-05-03,165.37338256835938,168.80035091617836,165.08698560494395,167.39796271242133,65136000
2023-05-04,163.73394775390625,164.96844587189068,162.27230620168868,162.8451151367803,81235400
2023-05-05,171.41748046875,172.13842316096267,168.64231599957478,168.85958887715515,113453200
2023-05-08,171.34832763671875,171.6939931151052,169.9755664215469,170.34097301845657,55962800
2023-05-09,169.63980102539062,171.38783954566773,169.47191108630196,170.90392591816433,45326900
2023-05-10,171.40760803222656,171.87178057282452,169.76819076413835,170.87431142683658,53724500
2023-05-11,171.5952606201172,172.4248398461332,170.0348529885771,171.69402651016821,49514700
2023-05-12,170.66563415527344,172.13918180226995,169.11295243629542,171.70403494878815,45533100
2023-05-15,170.171142578125,171.29856159606754,169.57775779377548,171.24911034897144,37266700
2023-05-16,170.171142578125,171.2293268320526,169.90411791612752,170.0920236008516,42110300
2023-05-17,170.78428649902344,171.0216283275313,168.5393327985131,169.81510548834717,57951600
2023-05-18,173.11825561523438,173.30616130301183,170.6755118549318,171.09087517456516,65496700
2023-05-19,173.22705078125,174.44347306887536,173.00947735219142,174.44347306887536,55809500
2023-05-22,172.27761840820312,172.781999977239,171.5358950094103,172.0600450039918,43570900
2023-05-23,169.66677856445312,171.46670153051892,169.38986966050507,171.2194603598222,50747300
2023-05-24,169.94366455078125,170.51726580029353,168.6382391925545,169.20194113871563,45143500
2023-05-25,171.08099365234375,171.98093998050487,169.79533663873903,170.50739236656926,56058300
2023-05-26,173.4940643310547,173.83032378662378,171.1996741500605,171.40736336995897,54835000
2023-05-30,175.34341430664062,177.01476677794446,174.6214744245607,175.00716998790764,55964400
2023-05-31,175.2939910888672,177.37082297149757,174.80939295881248,175.3731100748192,99625300
2023-06-01,178.10263061523438,178.13229834590607,174.97749886766357,175.73900583250884,68901800
2023-06-02,178.95314025878906,179.77398268262323,177.2817876805341,179.03225923715402,61996900
2023-06-05,177.5982666015625,182.90900173212887,176.07525265044882,180.61461168229852,121946500
2023-06-06,177.23233032226562,178.13227652640924,175.4719596724279,177.98393789122082,64848400
2023-06-07,175.857666015625,179.21025490271796,175.3631837898567,176.4708191466497,61944600
2023-06-08,178.5773468017578,178.84435638126445,175.50166626223591,175.93679801452896,50214900
2023-06-09,178.96302795410156,180.21900204187077,178.6366678484163,179.4970621604222,48900000
2023-06-12,181.7617950439453,181.86069753893617,178.97292275194738,179.26961514651788,54274900
